epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.06615,4.14535,0.03571,0.08929,4.18332,5.01e-06,5.01e-06,5.01e-06
2,4.42266,4.19873,0.03571,0.10714,4.15708,1.15743e-05,1.15743e-05,1.15743e-05
3,6.04596,4.10001,0.01786,0.07143,4.12332,1.80063e-05,1.80063e-05,1.80063e-05
4,7.43789,4.07198,0.01786,0.05357,4.06527,2.4306e-05,2.4306e-05,2.4306e-05
5,9.16689,4.02076,0.01786,0.08929,4.05994,3.04735e-05,3.04735e-05,3.04735e-05
6,10.5908,4.03815,0.01786,0.08929,4.02307,3.65087e-05,3.65087e-05,3.65087e-05
7,12.0774,4.04139,0,0.125,3.98826,4.24117e-05,4.24117e-05,4.24117e-05
8,13.4627,4.03667,0,0.16071,3.95713,4.81823e-05,4.81823e-05,4.81823e-05
9,14.8907,3.92572,0,0.17857,3.92151,5.38208e-05,5.38208e-05,5.38208e-05
10,16.4203,3.8922,0.03571,0.23214,3.87184,5.93269e-05,5.93269e-05,5.93269e-05
11,17.9012,3.92698,0.03571,0.25,3.81795,6.47008e-05,6.47008e-05,6.47008e-05
12,19.9625,3.78384,0.07143,0.25,3.76374,6.99424e-05,6.99424e-05,6.99424e-05
13,21.409,3.82723,0.14286,0.26786,3.70683,7.50518e-05,7.50518e-05,7.50518e-05
14,22.7836,3.75924,0.16071,0.32143,3.67726,8.00289e-05,8.00289e-05,8.00289e-05
15,24.1406,3.75045,0.21429,0.39286,3.60816,8.48737e-05,8.48737e-05,8.48737e-05
16,25.4556,3.74116,0.23214,0.41071,3.5689,8.95863e-05,8.95863e-05,8.95863e-05
17,26.778,3.63718,0.25,0.48214,3.54159,9.41666e-05,9.41666e-05,9.41666e-05
18,28.1924,3.6522,0.25,0.57143,3.49076,9.86147e-05,9.86147e-05,9.86147e-05
19,29.5427,3.56552,0.30357,0.57143,3.43947,0.00010293,0.00010293,0.00010293
20,30.8843,3.61584,0.32143,0.64286,3.37826,0.000107114,0.000107114,0.000107114
21,32.2788,3.42723,0.44643,0.76786,3.2582,0.000111165,0.000111165,0.000111165
22,33.6009,3.3913,0.48214,0.76786,3.18604,0.000115084,0.000115084,0.000115084
23,35.011,3.42937,0.51786,0.80357,3.12658,0.000118871,0.000118871,0.000118871
24,36.4472,3.3699,0.55357,0.83929,3.07897,0.000122525,0.000122525,0.000122525
25,41.6343,3.34269,0.58929,0.83929,3.00409,0.000126048,0.000126048,0.000126048
26,43.1108,3.29532,0.625,0.875,2.92476,0.000125667,0.000125667,0.000125667
27,44.5359,3.17478,0.64286,0.875,2.81879,0.000124014,0.000124014,0.000124014
28,45.8711,3.17668,0.66071,0.89286,2.79985,0.000122361,0.000122361,0.000122361
29,47.2962,3.03478,0.64286,0.91071,2.71406,0.000120708,0.000120708,0.000120708
30,48.7933,3.10236,0.64286,0.91071,2.68975,0.000119054,0.000119054,0.000119054
31,50.2499,2.9468,0.69643,0.91071,2.56283,0.000117401,0.000117401,0.000117401
32,51.6126,2.92789,0.69643,0.94643,2.49997,0.000115748,0.000115748,0.000115748
33,53.0479,2.89256,0.73214,0.96429,2.40688,0.000114094,0.000114094,0.000114094
34,54.467,2.90427,0.75,0.96429,2.34239,0.000112441,0.000112441,0.000112441
35,55.9298,2.73599,0.73214,0.96429,2.28522,0.000110788,0.000110788,0.000110788
36,57.3882,2.57555,0.85714,0.96429,2.18217,0.000109134,0.000109134,0.000109134
37,58.8309,2.7676,0.85714,1,2.11086,0.000107481,0.000107481,0.000107481
38,60.4506,2.58118,0.91071,1,2.03936,0.000105828,0.000105828,0.000105828
39,61.8437,2.63752,0.91071,1,1.99033,0.000104175,0.000104175,0.000104175
40,63.2207,2.5242,0.91071,1,1.90982,0.000102521,0.000102521,0.000102521
41,64.8309,2.4699,0.89286,1,1.88668,0.000100868,0.000100868,0.000100868
42,66.2509,2.49742,0.92857,1,1.80551,9.92147e-05,9.92147e-05,9.92147e-05
43,67.7678,2.3065,0.92857,1,1.72176,9.75614e-05,9.75614e-05,9.75614e-05
44,69.2345,2.31501,0.92857,1,1.70274,9.59081e-05,9.59081e-05,9.59081e-05
45,70.6754,2.27338,0.96429,1,1.63786,9.42548e-05,9.42548e-05,9.42548e-05
46,72.0762,2.22001,0.96429,1,1.55987,9.26015e-05,9.26015e-05,9.26015e-05
47,73.5311,2.17606,0.96429,1,1.5185,9.09482e-05,9.09482e-05,9.09482e-05
48,74.9653,2.123,1,1,1.43004,8.92949e-05,8.92949e-05,8.92949e-05
49,76.4589,2.19911,1,1,1.39263,8.76416e-05,8.76416e-05,8.76416e-05
50,77.9381,2.10974,1,1,1.31873,8.59883e-05,8.59883e-05,8.59883e-05
51,79.8899,2.10788,1,1,1.30295,8.4335e-05,8.4335e-05,8.4335e-05
52,81.4323,2.02454,1,1,1.24004,8.26817e-05,8.26817e-05,8.26817e-05
53,82.9254,1.96786,1,1,1.22157,8.10284e-05,8.10284e-05,8.10284e-05
54,84.4025,1.91106,1,1,1.15314,7.93751e-05,7.93751e-05,7.93751e-05
55,85.8337,1.8199,1,1,1.14811,7.77218e-05,7.77218e-05,7.77218e-05
56,87.3133,1.85508,1,1,1.10193,7.60685e-05,7.60685e-05,7.60685e-05
57,88.7268,1.79109,1,1,1.0745,7.44152e-05,7.44152e-05,7.44152e-05
58,90.1293,1.67644,1,1,1.02364,7.27619e-05,7.27619e-05,7.27619e-05
59,91.6744,1.85685,1,1,1.01351,7.11086e-05,7.11086e-05,7.11086e-05
60,93.1802,1.68798,1,1,0.96835,6.94553e-05,6.94553e-05,6.94553e-05
61,94.6658,1.64406,1,1,0.92128,6.7802e-05,6.7802e-05,6.7802e-05
62,96.1465,1.51492,1,1,0.89894,6.61487e-05,6.61487e-05,6.61487e-05
63,97.6826,1.76142,1,1,0.8716,6.44954e-05,6.44954e-05,6.44954e-05
64,99.1241,1.52269,1,1,0.83793,6.28421e-05,6.28421e-05,6.28421e-05
65,100.524,1.64118,1,1,0.8142,6.11888e-05,6.11888e-05,6.11888e-05
66,101.919,1.51063,1,1,0.78899,5.95355e-05,5.95355e-05,5.95355e-05
67,103.288,1.59024,1,1,0.79428,5.78822e-05,5.78822e-05,5.78822e-05
